gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000094932	280	-0.0109372524544599	-0.0158809101440663	0.0	0.0	Gm2007
ENSMUSG00000094306	282	-0.123952227830887	-0.1987726298896459	0.0	0.0	Gm24924
ENSMUSG00000070645	179	0.1649493884295211	0.3303875310259173	6.750155989720953e-14	2.7000623958883807e-11	Ren1
ENSMUSG00000057836	237	-0.4079939492046846	-0.6311523677250892	1.8329782136561334e-13	5.4989346409684e-11	Xlr3a
ENSMUSG00000079165	90	-0.4148118734359759	-0.773338739777689	5.454303675378469e-12	1.3090328820908326e-09	Sap25
ENSMUSG00000005125	101	0.1701343178749076	0.2234333165708472	2.2860380255451677e-11	4.5720760510903355e-09	Ndrg1
ENSMUSG00000040562	80	-0.1704293078742909	-0.2233716061446856	1.1163170388073239e-10	1.8771991368756364e-08	Gstm2
ENSMUSG00000027487	276	0.1192899699322887	0.1948255120924116	1.3282996924601775e-10	1.8771991368756364e-08	Cdk5rap1
ENSMUSG00000021614	95	0.3209090441465381	0.4881142645884757	1.4078993526567274e-10	1.8771991368756364e-08	Vcan
ENSMUSG00000033715	86	0.5188129626214516	0.9011871818190212	2.9873048479345243e-10	3.521513989503753e-08	Akr1c14
ENSMUSG00000073125	285	-0.0036137672141193	-0.0070842214189685	3.2280544903784403e-10	3.521513989503753e-08	Xlr3b
ENSMUSG00000030218	128	0.091880070883781	0.1720825627216038	5.797594626599788e-10	5.79759462659979e-08	Mgp
ENSMUSG00000099927	246	-0.146107783168554	-0.2373101492204262	8.847135246625725e-10	8.16658638150067e-08	Gm8226
ENSMUSG00000087935	123	-0.2767382562160504	-0.5199941848312811	2.2819921952077493e-08	1.955993310178071e-06	Snora81
ENSMUSG00000023046	155	-0.0844225049018869	-0.1658032944447992	5.285077597783072e-08	4.228062078226458e-06	Igfbp6
ENSMUSG00000022679	106	0.3652702091261737	0.6139137812460298	2.0246788046129893e-07	1.518509103459742e-05	Mpv17l
ENSMUSG00000038738	98	-0.1719081247225404	-0.2956598845775691	2.9430758319293204e-07	2.077465293126579e-05	Shank1
ENSMUSG00000108884	87	0.2010708346962929	0.3277875235656443	3.298365129911218e-07	2.198910086607479e-05	ENSMUSG00000108884
ENSMUSG00000048373	192	0.0941161561757326	0.1927775814687448	3.653331915876024e-07	2.307367525816436e-05	Fgfbp1
ENSMUSG00000027322	173	-0.0042474947869774	-0.0095696137463301	4.5591279307366506e-07	2.7354767584419903e-05	Siglec1
ENSMUSG00000042379	113	-0.0694606076460352	-0.1683939441995085	5.558472816469262e-07	3.1762701808395786e-05	Esm1
ENSMUSG00000027339	105	-0.1762863164767623	-0.3926855022317541	9.09649900737719e-07	4.921072447872099e-05	Rassf2
ENSMUSG00000028214	121	0.136434515658766	0.2487116563115449	9.758671632997815e-07	4.921072447872099e-05	Gem
ENSMUSG00000119838	139	-0.2265146777033814	-0.5482955529199056	9.842144895744198e-07	4.921072447872099e-05	Gm23444
ENSMUSG00000021702	128	-0.1292063139379033	-0.2583584762416867	1.0419972359398957e-06	5.001586732511498e-05	Thbs4
ENSMUSG00000064945	98	-0.3709167152643211	-0.5667410573630501	1.5340324178714226e-06	6.916024024583578e-05	Rny3
ENSMUSG00000079363	135	0.0609658671542998	0.0827919748953565	1.556105405531305e-06	6.916024024583578e-05	Gbp4
ENSMUSG00000019944	88	-0.0002509009093045	0.0048421021433811	2.035574805492324e-06	8.723892023538531e-05	Rhobtb1
ENSMUSG00000106107	110	-0.3265500474721199	-0.6629760647004879	2.3656511466407792e-06	9.788901296444604e-05	ENSMUSG00000106107
ENSMUSG00000064604	118	-0.2171780973672872	-0.4266791500834686	2.697679926222385e-06	0.0001079071970488	Snora44
ENSMUSG00000025650	85	-0.2729148954153064	-0.5854804685248828	3.7685297096246018e-06	0.0001458785694048	Col7a1
ENSMUSG00000098934	153	-0.1433056458830836	-0.2677399794232195	4.603650230916578e-06	0.0001726368836593	Gvin-ps4
ENSMUSG00000091345	172	-0.0265019699931146	-0.0517776015510719	6.519991084918964e-06	0.0002370905849061	Col6a5
ENSMUSG00000032060	80	-0.2462971050292273	-0.3918293857444005	6.812754858143144e-06	0.0002404501714638	Cryab
ENSMUSG00000020255	83	-0.2623452492058301	-0.4693052902974887	7.490413233668391e-06	0.0002568141680114	Nopchap1
ENSMUSG00000034457	139	0.0469803944230076	0.0962035605210022	8.03655530656755e-06	0.0002678851768855	Eda2r
ENSMUSG00000028364	87	-0.1634914048016073	-0.2815932903656797	9.307596595675705e-06	0.0003018679976975	Tnc
ENSMUSG00000021670	101	0.2017493307590488	0.3050849761064587	1.0006004245721734e-05	0.0003159790814438	Hmgcr
ENSMUSG00000065701	97	-0.4933312408626085	-0.8090012555525224	1.2935859322937835e-05	0.0003980264407057	ENSMUSG00000065701
ENSMUSG00000091694	143	0.0158550016582002	0.0249200474982351	1.5128543926157256e-05	0.0004538563177847	Apol11b
ENSMUSG00000119011	89	-0.3128967598080645	-0.571799754991715	1.697381886023308e-05	0.0004967946983482	Gm57565
ENSMUSG00000095616	253	-0.223541002906859	-0.4353242825520736	2.029538875947257e-05	0.0005798682502706	Gm26244
ENSMUSG00000050069	112	0.1676036935299642	0.289926085199671	4.083162632384507e-05	0.0011394872462468	Grem2
ENSMUSG00000087881	85	-0.4825856238603601	-0.9626527272352196	4.239811305051244e-05	0.0011563121741048	Gm22442
ENSMUSG00000047379	130	-0.452370939846151	-0.7292195788369243	5.479692723087126e-05	0.0014612513928232	B4gat1
ENSMUSG00000016763	100	-0.0067678153514856	-0.0102400106552123	5.6727317501392704e-05	0.0014798430652537	Scube1
ENSMUSG00000092746	172	-0.3669456344097846	-0.535582865154111	7.083214461933718e-05	0.0018084802881532	ENSMUSG00000092746
ENSMUSG00000118936	124	-0.3600698390975589	-0.4672833728771817	9.618215552775756e-05	0.0023413471486	Gm22614
ENSMUSG00000030337	83	-0.4385025620460514	-0.8494761633734164	9.688999645118825e-05	0.0023413471486	Vamp1
ENSMUSG00000026417	93	0.1321847207844256	0.2628009618607165	9.755613119166728e-05	0.0023413471486	Pigr
ENSMUSG00000050074	97	-0.0357567969709642	-0.0540589292669783	0.0001187798197226	0.0027948192875914	Spink8
ENSMUSG00000109378	93	-0.3062797129154223	-0.5798844768627329	0.000127155319891	0.0029343535359472	ENSMUSG00000109378
ENSMUSG00000000359	102	0.1056547574698931	0.2293248164631769	0.0001428932362834	0.0032353185573615	Rem1
